2025-11-13 17:21:36,040 INFO    MainThread:324274 [wandb_init.py:setup_run_log_directory():705] Logging user logs to /home/700050058/project_feedback_analyzer/wandb/run-20251113_172135-d6cqc4pi/logs/debug.log
2025-11-13 17:21:36,041 INFO    MainThread:324274 [wandb_init.py:setup_run_log_directory():706] Logging internal logs to /home/700050058/project_feedback_analyzer/wandb/run-20251113_172135-d6cqc4pi/logs/debug-internal.log
2025-11-13 17:21:36,041 INFO    MainThread:324274 [wandb_init.py:init():832] calling init triggers
2025-11-13 17:21:36,041 INFO    MainThread:324274 [wandb_init.py:init():837] wandb.init called with sweep_config: {}
config: {'model_name': 'distillbert-base-uncased', 'exp_name': 'distillbase_lr2e-5_uf2', 'lr': 2e-05, 'epochs': 50, 'unfreeze_layers': 2, 'use_rule': True, '_wandb': {}}
2025-11-13 17:21:36,041 INFO    MainThread:324274 [wandb_init.py:init():880] starting backend
2025-11-13 17:21:36,041 INFO    MainThread:324274 [wandb_init.py:init():883] sending inform_init request
2025-11-13 17:21:36,045 INFO    MainThread:324274 [wandb_init.py:init():891] backend started and connected
2025-11-13 17:21:36,049 INFO    MainThread:324274 [wandb_init.py:init():961] updated telemetry
2025-11-13 17:21:36,049 INFO    MainThread:324274 [wandb_init.py:init():985] communicating run to backend with 90.0 second timeout
2025-11-13 17:21:36,917 INFO    MainThread:324274 [wandb_init.py:init():1036] starting run threads in backend
2025-11-13 17:21:37,129 INFO    MainThread:324274 [wandb_run.py:_console_start():2506] atexit reg
2025-11-13 17:21:37,129 INFO    MainThread:324274 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-11-13 17:21:37,129 INFO    MainThread:324274 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-11-13 17:21:37,129 INFO    MainThread:324274 [wandb_run.py:_redirect():2446] Redirects installed.
2025-11-13 17:21:37,131 INFO    MainThread:324274 [wandb_init.py:init():1076] run started, returning control to user process
